access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
pattern	[ˈpætərn]	n. 模式
mood	[mud]	n. 心情
sympathy	[ˈsɪmpəθi]	n. 同情心
discount	[ˈdɪskaʊnt]	n. 折扣
value	[ˈvælju]	v. 重视
altitude	[ˈæltəˌtud]	n. 海拔, 高度
groundsheet	[groundsheet*]	n. 防潮布
evolutionary	[ˌɛvəˈluʃəˌnɛri]	adj. 进化的；演变的
implement	[ˈɪmpləmənt]	v. 实施，执行
dominant	[ˈdɑmənənt]	adj. 占优势的
scope	[skoʊp]	n. 范围
suspect	[ˈsəˌspɛkt]	v. 怀疑，猜想 n. 嫌疑犯
confrontation	[ˌkɑnfrənˈteɪʃən]	n. 冲突，对抗
puzzle	[ˈpəzəl]	v. 迷惑 n. 难解之事，谜
critic	[ˈkrɪtɪk]	n. 批评家，评论家
apartment	[əˈpɑrtmənt]	n. 公寓
analyze	[ˈænəˌlaɪz]	v. 分析
maintain	[meɪnˈteɪn]	v. 维持；主张
curb	[kərb]	v. 控制 n. 控制
version	[ˈvərʒən]	n. 版本
rival	[ˈraɪvəl]	n. 对手
beneficial	[ˌbɛnəˈfɪʃəl]	adj. 有利的，有益的
substantial	[səbˈstænʃəl]	adj. 大量的
recover	[rɪˈkəvər]	v. 恢复；重新获得；寻回
diploma	[dɪˈploʊmɑ]	n. 文凭
carpenter	[ˈkɑrpəntər]	n. 木匠
circumstance	[ˈsərkəmˌstæns]	n. 环境，境遇
canteen	[kænˈtin]	n. 食堂
advocator	[advocator*]	n. 主张者，倡导者
disorderly	[dɪˈsɔrdərli]	adj. 杂乱的
essentially	[ɛˈsɛnʃəli]	adv. 本质上，根本上
prevent	[prɪˈvɛnt]	v. 预防
ceremony	[ˈsɛrəˌmoʊni]	n. 典礼，仪式
assume	[əˈsum]	v. 假定，认为
demand	[dɪˈmænd]	n. 需求，要求 v. 要求
principle	[ˈprɪnsəpəl]	n. 原则，原理
reception	[rɪˈsɛpʃən]	n. 接待；反响
transfer	[ˈtrænsfər]	v. 转换，调换 n. 转换，调换
preventable	[prɪˈvɛntəbəl]	adj. 可预防的
anticipate	[ænˈtɪsəˌpeɪt]	v. 预感
assumption	[əˈsəmpʃən]	n. 假定，假设
prescription	[prəˈskrɪpʃən]	n. 处方
evolution	[ˌɛvəˈluʃən]	n. 演变，进化
annoy	[əˈnɔɪ]	v. 使反感，厌烦
unintended	[ˌənɪnˈtɛndɪd]	adj. 意想不到的
origin	[ˈɔrəʤən]	n. 起源
qualify	[kˈwɑləˌfaɪ]	v. 使……有资格
emergence	[ˈimərʤəns]	n. 出现，发生
complain	[kəmˈpleɪn]	v. 抱怨
merit	[ˈmɛrət]	n. 优点，成绩 v. 值得
forum	[ˈfɔrəm]	n. 论坛
arrange	[əreɪnʤ]	v. 安排，筹划
determination	[dɪˌtərməˈneɪʃən]	n. 意志
bargain	[ˈbɑrgɪn]	n. 便宜货，减价品
appetite	[ˈæpəˌtaɪt]	n. 欲望, 胃口
neutral	[ˈnutrəl]	adj. 中立的
primitive	[ˈprɪmɪtɪv]	adj. 原始的；简单的；简单的，简陋的
therapy	[ˈθɛrəpi]	n. 疗法 治疗
conscience	[ˈkɑnʃəns]	n. 良心
define	[dɪˈfaɪn]	v. 确定；下定义
creativity	[ˌkrieɪˈtɪvəti]	n. 创造力
tailor	[ˈteɪlər]	v. 调整使适应
dramatically	[drəˈmætɪkəli]	adv. 戏剧性地，引人注目地
panic	[ˈpænɪk]	n. 惊恐
motivation	[ˌmoʊtəˈveɪʃən]	n. 激励，刺激
durable	[ˈdʊrəbəl]	adj. 持久的，耐用的
remedy	[ˈrɛmədi]	n. 药物
inevitable	[ˌɪˈnɛvətəbəl]	adj. 不可避免的
diverse	[dɪˈvərs]	adj. 各种各样的
context	[ˈkɑntɛkst]	n. 背景，环境
prominent	[ˈprɑmənənt]	adj. 杰出的；突出的，凸起的
witness	[ˈwɪtnəs]	n. 目击者，目击
save	[seɪv]	v. 节省
inherit	[ˌɪnˈhɛrət]	v. 继承
occasion	[əˈkeɪʒən]	n. 场合
initiative	[ˌɪˈnɪʃətɪv]	n. 主动权，自主权
insight	[ˈɪnˌsaɪt]	n. 洞察力，洞悉
misguided	[mɪsˈgaɪdɪd]	adj. 被误导的
sponsor	[ˈspɑnsər]	v. 赞助
porter	[ˈpɔrtər]	n. 搬运工
loyalty	[ˈlɔɪəlti]	n. 忠诚，忠实
overwhelming	[ˌoʊvərˈwɛlmɪŋ]	adj. 压倒性的
appreciation	[əˌpriʃiˈeɪʃən]	n. 感激
setting	[ˈsɛtɪŋ]	n. 背景，环境
display	[dɪˈspleɪ]	n. 展览 v. 展览
deliver	[dɪˈlɪvər]	v. 发表
astonish	[əˈstɑnɪʃ]	v. 使惊讶，使大为吃惊
adequate	[ˈædəkˌweɪt]	adj. 足够的
consumption	[kənˈsəmʃən]	n. 消费，消耗
abuse	[əˈbjuz]	v. 虐待；滥用
broad	[brɔd]	adj. 宽的
inappropriate	[ˌɪnəˈproʊpriɪt]	adj. 不合适的
worldwide	[ˈwərldˈwaɪd]	adv. 全世界范围地
strict	[strɪkt]	adj. 严格的
means	[minz]	n. 方法
reveal	[rɪˈvil]	v. 揭露，揭示
confirm	[kənˈfərm]	v. 证实
consensus	[kənˈsɛnsəs]	n. 一致意见
agent	[ˈeɪʤənt]	n. 代理商
neighborhood	[ˈneɪbərˌhʊd]	n. 地区
participate	[pɑrˈtɪsəˌpeɪt]	v. 参与，参加
valid	[ˈvælɪd]	adj. 有效的
initially	[ˌɪˈnɪʃəli]	adv. 最初，起初
slightly	[sˈlaɪtli]	adv. 轻微地
objection	[əˈbʤɛkʃən]	n. 反对
atmosphere	[ˈætməsˌfɪr]	n. 气氛；大气；空气
assign	[əˈsaɪn]	v. 布置；分配
evidence	[ˈɛvədəns]	n. 根据，证据，迹象
racially	[ˈreɪʃəli]	adv. 种族上地
exclude	[ɪkˈsklud]	v. 排除，不包括
available	[əˈveɪləbəl]	adj. 可利用的，现有的；可获得的
puzzling	[ˈpəzəlɪŋ]	adj. 令人困惑的
evaluation	[ɪˌvæljuˈeɪʃən]	n. 评价，评估
irritate	[ˈɪrɪˌteɪt]	v. 激怒
distinguished	[dɪˈstɪŋgwɪʃt]	adj. 显著的，杰出的
depressing	[dɪˈprɛsɪŋ]	adj. 令人沮丧的
mutually	[mˈjuʧuəli]	adv. 互相地
mission	[ˈmɪʃən]	n. 使命，任务；代表团
migration	[maɪˈgreɪʃən]	n. 迁移，移民
site	[saɪt]	n. 场所，地址
expectation	[ˌɛkspɛkˈteɪʃən]	n. 期望
update	[ˈəpˌdeɪt]	v. 更新；使现代化
gear	[gɪr]	n. 齿轮 v. 使合适
reproductive	[ˌriprəˈdəktɪv]	adj. 生殖的，再生的
incredible	[ˌɪnˈkrɛdəbəl]	adj. 不可思议的
backward	[ˈbækwərd]	adv. 向后
raise	[reɪz]	v. 提高；筹款；抚养
prohibit	[proʊˈhɪbət]	v. 禁止，阻止，防止
bother	[ˈbɑðər]	v. 麻烦；打扰
pose	[poʊz]	v. 摆姿势，装腔作势 n. 姿势
instrument	[ˈɪnstrəmənt]	n. 仪器，器械，工具
mask	[mæsk]	v. 掩饰
essential	[ɛˈsɛnʃəl]	adj. 必须的；本质的
harvest	[ˈhɑrvəst]	n. 丰收，收获
reject	[ˈriʤɛkt]	v. 拒绝，驳回
advancement	[ədˈvænsmənt]	n. 进步，提升
skyrocket	[ˈskaɪˌrɑkət]	v. 突升，猛涨
characteristic	[ˌkɛrɪktərˈɪstɪk]	n. 特点
implication	[ˌɪmpləˈkeɪʃən]	n. 含义，暗示
measure	[ˈmɛʒər]	n. 分量 v. 测量
replacement	[rɪˈpleɪsmənt]	n. 代替
easygoing	[ˈiziˈgoʊɪŋ]	adj. 脾气随和的，温和的
squeeze	[skwiz]	v. 压，榨
exhibition	[ˌɛksəˈbɪʃən]	n. 展览
responsibility	[riˌspɑnsəˈbɪləti]	n. 责任
enhance	[ɛnˈhæns]	v. 提高；加强；增加
retain	[rɪˈteɪn]	v. 保留,留用
convey	[kənˈveɪ]	v. 传达，传递
regulation	[ˌrɛgjəˈleɪʃən]	n. 管理；规则
integrity	[ˌɪnˈtɛgrəti]	n. 完整
combine	[ˈkɑmbaɪn]	v. 联合，结合
impermanency	[impermanency*]	n. 非永久性
catalogue	[ˈkætəˌlɔg]	v. 把……编入目录
council	[ˈkaʊnsəl]	n. 议会
prepare	[priˈpɛr]	v. 做准备
inquiry	[ˌɪnkˈwaɪˌri]	n. 询问
tension	[ˈtɛnʃən]	n. 紧张
prompt	[prɑmpt]	adj. 迅速的；立刻的；及时的 v. 促使；激励
attendance	[əˈtɛndəns]	n. 出席人数
retail	[ˈriˌteɪl]	n. 零售 v. 零售
image	[ˈɪmɪʤ]	n. 形象，声誉，；印象
quantity	[kˈwɑntəti]	n. 量，数量
inspector	[ˌɪnˈspɛktər]	n. 检查员
endurance	[ˈɛndərəns]	n. 耐力
simplify	[ˈsɪmpləˌfaɪ]	v. 简化
range	[reɪnʤ]	n. 范围 v. 在范围内变化
accomplish	[əˈkɑmplɪʃ]	v. 完成
treatment	[ˈtritmənt]	n. 治疗；对待
spare	[spɛr]	adj. 空闲的
welfare	[ˈwɛlˌfɛr]	n. 幸福；福利
boost	[bust]	n. 推动 v. 促使，促进
consciousness	[ˈkɑnʃəsnəs]	n. 意识
patiently	[ˈpeɪʃəntli]	adv. 耐心地
decent	[ˈdisənt]	adj. 正派的，体面的
review	[ˌrivˈju]	n. 回顾 v. 复习
considerable	[kənˈsɪdərəbəl]	adj. 相当大(或多)的
misguide	[mɪsˈgaɪd]	v. 误导
foundation	[faʊnˈdeɪʃən]	n. 地基；基础；；基金会
postgraduate	[postgraduate*]	n. 研究生
prevail	[prɪˈveɪl]	v. 流行，盛行
solid	[ˈsɑləd]	adj. 扎实的，坚实的
counsel	[ˈkaʊnsəl]	v. 忠告，建议
maximum	[ˈmæksəməm]	n. 最大值，最大量 a. 最大值的，最大量的
abstract	[ˈæbˌstrækt]	adj. 抽象的
realistic	[ˌriəˈlɪstɪk]	adj. 现实的，实际的
ban	[bæn]	v. 禁止
ashamed	[əˈʃeɪmd]	adj. 羞耻的；内疚的；惭愧的
solve	[sɑlv]	v. 解决
reinforce	[ˌriɪnˈfɔrs]	v. 加强，强化
applicant	[ˈæplɪkənt]	n. 申请人
tuition	[tjuˈɪʃən]	n. 学费
persistence	[pərˈsɪstəns]	n. 坚持不懈
overcome	[ˈoʊvərˌkəm]	v. 战胜，克服
bride	[braɪd]	n. 新娘
engagement	[ɛnˈgeɪʤmənt]	n. 婚约
household	[ˈhaʊsˌhoʊld]	n. 家庭，一家人
evaluate	[ɪˈvæljuˌeɪt]	v. 评价
saint	[seɪnt]	n. 圣人
delay	[dɪˈleɪ]	v. 推迟，延期
private	[ˈpraɪvət]	adj. 私人的
definition	[ˌdɛfəˈnɪʃən]	n. 定义
influential	[ˌɪnfluˈɛnʃəl]	adj. 有影响力的
recommend	[ˌrɛkəˈmɛnd]	v. 推荐；劝告；使受欢迎
frontier	[frənˈtɪr]	n. 边境
concern	[kənˈsərn]	n. 重要的事情 v. 与…有关，关于
organ	[ˈɔrgən]	n. 器官
cite	[saɪt]	v. 引用
mechanism	[ˈmɛkəˌnɪzəm]	n. 机制，机能
contest	[ˈkɑntɛst]	n. 比赛
symptom	[ˈsɪmptəm]	n. 症状
deadline	[ˈdɛˌdlaɪn]	n. 最后期限
domination	[ˌdɑməˈneɪʃən]	n. 主导
figure	[ˈfɪgjər]	n. 人物；数字
imply	[ˌɪmˈplaɪ]	v. 暗示；意味；
curiosity	[ˌkjʊriˈɑsəti]	n. 好奇心
induce	[ˌɪnˈdus]	v. 引诱
acknowledge	[ækˈnɑlɪʤ]	v. 承认(…的权威)
gym	[ʤɪm]	n. 体育馆，健身房
chef	[ʃɛf]	n. 厨师
sensible	[ˈsɛnsəbəl]	adj. 明智的
outline	[ˈaʊˌtlaɪn]	n. 梗概，提纲，草稿，要点
react	[riækt]	v. 对……作出反应
committee	[kəˈmɪti]	n. 委员会
civilian	[səˈvɪljən]	n. 平民，百姓
domestic	[dəˈmɛstɪk]	adj. 国内的
complex	[ˈkɑmplɛks]	adj. 复杂的
locate	[ˈloʊˌkeɪt]	v. 位于，定位
tighten	[ˈtaɪtən]	v. 使变紧
physics	[ˈfɪzɪks]	n. 物理，物理学
foothold	[ˈfʊˌthoʊld]	n. 立足处（攀登时脚踩的地方）
discharge	[ˈdɪsˌʧɑrʤ]	v. 释放；排出；批准离开; 命令离开
advanced	[ədˈvænst]	adj. 高级的
complicated	[ˈkɑmpləˌkeɪtəd]	adj. 复杂的，难懂的
needy	[ˈnidi]	adj. 贫穷的
stale	[steɪl]	adj. 乏味的，没有新意的
casual	[ˈkæʒəwəl]	adj. 漫不经心的，随便的；偶然的
conform	[kənˈfɔrm]	v. 相一致，遵守
recharge	[riˈʧɑrʤ]	v. 再充电
annually	[ˈænjuəli]	adv. 每年，一年一次
frown	[fraʊn]	v. 皱眉
decline	[dɪˈklaɪn]	v. 下降，减少；拒绝
originate	[ərˈɪʤəˌneɪt]	v. 开始
prospect	[ˈprɑspɛkt]	n. 前景；前途
curious	[ˈkjʊriəs]	adj. 好奇的
incentive	[ˌɪnˈsɛnɪv]	n. 动机，刺激
virus	[ˈvaɪrəs]	n. 病毒
cultivate	[ˈkəltəˌveɪt]	v. 培养， 养成
potential	[pəˈtɛnʃəl]	n. 潜力 adj. 有可能的；潜在的
reluctant	[rɪˈləktənt]	adj. 不愿意的，勉强的
miserable	[ˈmɪzərəbəl]	adj. 痛苦的
persuasion	[pərsˈweɪʒən]	n. 劝说
competitiveness	[kəmˈpɛtɪtɪvnɪs]	n. 竞争力
restriction	[riˈstrɪkʃən]	n. 限制，限定
minor	[ˈmaɪnər]	adj. 小的
grain	[greɪn]	n. 谷物，粮食
rate	[reɪt]	n. 比率，速率
radically	[ˈrædɪkli]	adv. 完全地，彻底地
distinct	[dɪˈstɪŋkt]	adj. 明显的；有区别的
equality	[ɪkˈwɑləti]	n. 平等
hardworking	[ˈhɑrdˌwərkɪŋ]	adj. 苦干的，不辞辛劳的
qualification	[kˌwɑləfəˈkeɪʃən]	n. 资格(证明)，合格证书
bacteria	[bækˈtɪriə]	n. 细菌
corporate	[ˈkɔrpərət]	adj. 团体的；法人的
undermine	[ˈəndərˌmaɪn]	v. 逐渐削弱; 逐渐动摇
selfish	[ˈsɛlfɪʃ]	adj. 自私的
cater	[ˈkeɪtər]	v. 迎合
survival	[sərˈvaɪvəl]	n. 幸存
favor	[ˈfeɪvər]	v. 偏好, 较喜欢
conflict	[ˈkɑnflɪkt]	v. 冲突
client	[klaɪənt]	n. 客户
garage	[gərɑʒ]	n. 车库
fatigue	[fəˈtig]	n. 疲劳，疲乏
plant	[plænt]	n. 工厂
endanger	[ɛnˈdeɪnʤər]	v. 危及，危害，濒临危险
operation	[ˌɑpərˈeɪʃən]	n. 手术；行动
handle	[ˈhændəl]	v. 处理
laborious	[ləˈbɔriəs]	adj. 费力的
passion	[ˈpæʃən]	n. 热情，激情
cooperative	[koʊˈɑpərˌeɪtɪv]	adj. 合作的
inflate	[ɪnˈfleɪt]	v. (使)膨胀
resourceful	[riˈsɔrsfəl]	adj. 机智的
exaggerate	[ɪgˈzæʤərˌeɪt]	v. 夸张
loan	[loʊn]	n. 贷款
vocabulary	[voʊˈkæbjəˌlɛri]	n. 词汇
illustrate	[ˈɪləˌstreɪt]	v. 说明,阐明
overflow	[ˌoʊvərˈfloʊ]	v. 溢出，淹没
fantasize	[ˈfænəˌsaɪz]	v. 想象，幻想
amusing	[əmˈjuzɪŋ]	adj. 有趣的，好玩儿的
universal	[ˌjunəˈvərsəl]	adj. 宇宙的，全世界的；普遍的
generate	[ˈʤɛnərˌeɪt]	v. 产生
schedule	[ˈskɛʤʊl]	n. 日程表
backslide	[ˈbæksˌlaɪd]	v. 倒退，退步
particle	[ˈpɑrtɪkəl]	n. 微粒
menu	[ˈmɛnju]	n. 菜单
reward	[rɪˈwɔrd]	n. 报答，奖赏 v. 报答，奖赏
reproduce	[ˌriprəˈdus]	v. 复制
worsen	[ˈwərsən]	v. （使）变得更坏
feedback	[ˈfidˌbæk]	n. 反馈
equivalent	[ɪkˈwɪvələnt]	adj. 相等的，相当的
resign	[rɪˈzaɪn]	v. 辞职
motivate	[ˈmoʊtəˌveɪt]	v. 促动，激发，诱导
compel	[kəmˈpɛl]	v. 强迫
revise	[rɪˈvaɪz]	v. 修订
dampen	[ˈdæmpən]	v. 抑制
prosperity	[prɑˈspɛrəti]	n. 繁荣
flow	[floʊ]	n. 流动 v. 流动
humanity	[juˈmænɪti]	n. 人类〔总称〕；人性
sideways	[ˈsaɪdˌweɪz]	adv. 向侧面
pursue	[pərˈsu]	v. 追求
innovate	[ˈɪnəˌveɪt]	v. 创新，革新
mill	[mɪl]	n. 工厂
promotional	[pərˈmoʊʃənəl]	adj. 促销的
dump	[dəmp]	v. 扔下，倾倒；倾销
resist	[rɪˈzɪst]	v. 抵抗，抗拒
source	[sɔrs]	n. 来源
legal	[ˈligəl]	adj. 法律的
picky	[ˈpɪki]	adj. 挑剔的
steal	[stil]	v. 偷窃
despite	[dɪˈspaɪt]	prep. 尽管
explosion	[ɪkˈsploʊʒən]	n. 爆炸
gap	[gæp]	n. 缝隙，缺口；差距
relevant	[ˈrɛləvənt]	adj. 有关的，切题的
ignore	[ˌɪgˈnɔr]	v. 忽视，不顾
complete	[kəmˈplit]	v. 完成 adj. 完整的，彻底的
sufficient	[səˈfɪʃənt]	adj. 足够的
switch	[swɪʧ]	v. 转变，改变
request	[rɪkˈwɛst]	n. 要求
stereotype	[ˈstɛrioʊˌtaɪp]	n. 老套，固定模式
couple	[ˈkəpəl]	n. 夫妻，情侣
honesty	[ˈɑnəsti]	n. 诚实
transportation	[ˌtrænspərˈteɪʃən]	n. 运输
physical	[ˈfɪzɪkəl]	adj. 身体上的
screen	[skrin]	v. 筛查
divine	[dɪˈvaɪn]	adj. 神圣的
guideline	[ˈgaɪˌdlaɪn]	n. 指导原则
revolution	[ˌrɛvəˈluʃən]	n. 革命
interruption	[ˌɪntərˈəpʃən]	n. 打扰；中断
dishwasher	[ˈdɪʃˌwɑʃər]	n. 洗碗机
promising	[ˈprɑməsɪŋ]	adj. 有希望的，有前途的
vary	[ˈvɛri]	v. 不同；变化
permanent	[ˈpərmɑˌnɛnt]	adj. 永久的
manufacture	[ˌmænjəˈfækʧər]	v. 制造，生产
fussy	[ˈfəsi]	adj. 爱挑剔的；
dictate	[ˈdɪkˌteɪt]	v. 命令，规定 n. 命令，规定
professional	[prəˈfɛʃənəl]	adj. 专业的
prosper	[ˈprɑspər]	v. 繁荣
exchange	[ɪksˈʧeɪnʤ]	n. 交换，交流 v. 交换，交流
concentration	[ˌkɑnsənˈtreɪʃən]	n. 集中
gesture	[ˈʤɛsʧər]	n. 手势，姿势
deliberate	[dɪˈlɪbərˌeɪt]	adj. 故意的
contribution	[ˌkɑntrəˈbjuʃən]	n. 贡献；捐款
bless	[blɛs]	v. 保佑，祝福
detective	[dɪˈtɛktɪv]	n. 侦探
evident	[ˈɛvədənt]	adj. 明显的
retreat	[riˈtrit]	v. 退避，后退；撤退
responsible	[riˈspɑnsəbəl]	adj. 负责的，有责任的
identity	[aɪˈdɛntəˌti]	n. 身份
statistics	[stəˈtɪstɪks]	n. 统计学；数据
appreciate	[əˈpriʃiˌeɪt]	v. 感激；欣赏
insult	[ˌɪnˈsəlt]	v. 侮辱
neglect	[nɪˈglɛkt]	v. 疏忽；忽视
primarily	[praɪˈmɛrəli]	adv. 主要地，首先
long	[lɔŋ]	v. 渴望
incline	[ˌɪnˈklaɪn]	v. 倾向于
asset	[ˈæˌsɛt]	n. 有价值的人(或物)资产
overtake	[ˈoʊvərˌteɪk]	v. 超车
extension	[ɪkˈstɛnʃən]	n. 分机
engine	[ˈɪnʤən]	n. 引擎，发动机
emphasize	[ˈɛmfəˌsaɪz]	v. 强调
genuine	[ˈʤɛnjuˌaɪn]	adj. 真正的
fascination	[ˌfæsəˈneɪʃən]	n. 魅力；入迷
lodge	[lɑʤ]	v. 住宿，暂住
cheat	[ʧit]	v. 欺骗, 作弊
security	[sɪˈkjʊrəti]	n. 安全，安保
painful	[ˈpeɪnfəl]	adj. 痛苦的，疼痛的，令人不快的
emerge	[ˈimərʤ]	v. 出现
instance	[ˈɪnstəns]	n. 情况，例子
steep	[stip]	adj. 陡峭的；急剧升/降的
rigorous	[ˈrɪgərəs]	adj. 严格的
persuade	[pərsˈweɪd]	v. 说服
procedure	[prəˈsiʤər]	n. 程序
signature	[ˈsɪgnəʧər]	n. 签名
surpass	[sərˈpæs]	v. 超过
campaign	[kæmˈpeɪn]	n. 活动
advance	[ədˈvæns]	n. 提前 v. 前进
charity	[ˈʧɛrɪti]	n. 慈善机构
average	[ˈævərɪʤ]	adj. 平常的
indispensable	[ˌɪndɪˈspɛnsəbəl]	adj. 必不可少的
irrationally	[ˌɪˈræʃənəli]	adv. 不合理地，无理性地
accompany	[əˈkəmpəni]	v. 陪伴
aviation	[ˌeɪviˈeɪʃən]	n. 航空
distress	[dɪˈstrɛs]	v. 使痛苦，悲痛
invariably	[ˌɪnˈvɛriəbli]	adv. 不变地，一直
invest	[ˌɪnˈvɛst]	v. 投资
approximately	[əˈprɑksəmətli]	adv. 大约
conservation	[ˌkɑnsərˈveɪʃən]	n. 保护，保存
ease	[iz]	n. 轻松，舒适
extracurricular	[ˌɛkstrəkərˈɪkjələr]	adj. 课外的
undoubtedly	[ənˈdaʊtɪdli]	adv. 无疑
excellent	[ˈɛksələnt]	adj. 卓越的，杰出的，极好的
investigate	[ˌɪnˈvɛstəˌgeɪt]	v. 调查
judgement	[ˈʤəʤmənt]	n. 判断，决定
struggle	[ˈstrəgəl]	v. 搏斗
prohibitively	[proʊˈhɪbətɪvli]	adv. 过分地，非常地
military	[ˈmɪlɪˌtɛri]	adj. 军队的，军事的
consequently	[ˈkɑnsəkˌwɛntli]	adv. 结果
suffer	[ˈsəfər]	v. 受苦；遭受（痛苦）
visible	[ˈvɪzəbəl]	adj. 看得见的
swift	[swɪft]	adj. 迅速的
battle	[ˈbætəl]	n. 战争，战役
liability	[ˌlaɪəˈbɪlɪti]	n. 责任
resistant	[rɪˈzɪstənt]	adj. 抵抗的；抵制的
nutritious	[nuˈtrɪʃəs]	adj. 营养的
constantly	[ˈkɑnstəntli]	adv. 不断地，时常地
familiar	[fəˈmɪljər]	adj. 熟悉的
terribly	[ˈtɛrəbli]	adv. 可怕地，非常
restore	[rɪˈstɔr]	v. 修复
refine	[rɪˈfaɪn]	v. 改善；精炼
inspire	[ˌɪnˈspaɪr]	v. 激发；鼓舞；使产生灵感
comply	[kəmˈplaɪ]	v. 遵从
justice	[ˈʤəstɪs]	n. 公正
district	[ˈdɪstrɪkt]	n. 区
installation	[ˌɪnstəˈleɪʃən]	n. 安装；就职；就职仪式
marvelous	[ˈmɑrvələs]	adj. 引起惊异的
provoke	[prəˈvoʊk]	v. 激起，挑起
lobby	[ˈlɑbi]	n. 大堂 v. 游说
interview	[ˈɪntərvˌju]	n. 面谈（试）；会见； v. 采访 ；面试
release	[riˈlis]	v. 释放；发布
explore	[ɪkˈsplɔr]	v. 探索
profound	[proʊˈfaʊnd]	adj. 深厚的
exploit	[ˌɛkˈsplɔɪt]	v. 开采
startup	[ˈstɑrˌtəp]	n. 启动，开办
constructive	[kənˈstrəktɪv]	adj. 建设的，建设性的
unbearable	[ənˈbɛrəbəl]	adj. 无法忍受的
laundry	[ˈlɔndri]	n. 要洗的衣服；刚洗过的衣物；洗衣房
seize	[siz]	v. 抓住
poison	[ˈpɔɪzən]	v. 使中毒
bakery	[ˈbeɪkəri]	n. 面包店
tent	[tɛnt]	n. 帐篷
wedding	[ˈwɛdɪŋ]	n. 婚礼
fair	[fɛr]	n. 集市
geographic	[ˌʤiəˈgræfɪk]	adj. 地理的
comprehensive	[ˌkɑmpriˈhɛnsɪv]	adj. 综合的，全面的
riot	[raɪət]	n. 暴乱
conspicuous	[kənˈspɪkjuəs]	adj. 显著地
block	[blɑk]	v. 阻碍 n. 街区
acute	[əˈkjut]	adj. 敏锐的
endure	[ɪnˈdʊr]	v. 忍耐；容忍
assembly	[əˈsɛmbli]	n. 装配
opponent	[əˈpoʊnənt]	n. 对手
confront	[kənˈfrənt]	v. 面对
stir	[stər]	v. 搅动；煽动，激起
rocket	[ˈrɑkət]	n. 火箭 v. 猛增
attribute	[əˈtrɪˌbjut]	v. 归因于
sentence	[ˈsɛntəns]	n. 判决 v. 判决
tempting	[ˈtɛmptɪŋ]	adj. 诱人的，吸引人的
commitment	[kəˈmɪtmənt]	n. 承诺，保证
feasible	[ˈfizəbəl]	adj. 可行的；可能的；可用的
outcome	[ˈaʊtˌkəm]	n. 结果
diligent	[ˈdɪlɪʤənt]	adj. 勤奋的
deprive	[dɪˈpraɪv]	v. 剥夺，夺去，使丧失
grid	[grɪd]	n. 输电网
distribute	[dɪˈstrɪbjut]	v. 分发
destruction	[dɪˈstrəkʃən]	n. 破坏
divide	[dɪˈvaɪd]	v. 分开
highlight	[ˈhaɪˌlaɪt]	v. 突出；强调 n. 突出的部分
justify	[ˈʤəstəˌfaɪ]	v. 证明……正当
announce	[əˈnaʊns]	v. 宣布，声称
proposal	[prəˈpoʊzəl]	n. 提议
advisory	[ædˈvaɪzəri]	n. 报告，警告
mystery	[ˈmɪstəri]	n. 迷，神秘的事物
punctual	[ˈpəŋkʧuəl]	adj. 准时的
derive	[dəraɪv]	v. 得到，导出
harmony	[ˈhɑrməni]	n. 和谐
unwilling	[ənˈwɪlɪŋ]	adj. 不愿意的
view	[vju]	v. 看待
financial	[ˌfaɪˈnænʃəl]	adj. 财政的，经济的
priority	[praɪˈɔrəti]	n. 优先，优先权
impermanent	[impermanent*]	adj. 非永久（性）的；不持久的，暂时的
symbolize	[ˈsɪmbəˌlaɪz]	v. 象征
bankrupt	[ˈbæŋkrəpt]	adj. 破产的，倒闭的
intake	[ˈɪnˌteɪk]	n. 摄入
addiction	[əˈdɪkʃən]	n. 上瘾
productive	[pərˈdəktɪv]	adj. 富有成效的
admire	[ædˈmaɪr]	v. 钦佩，称赞
reflect	[rɪˈflɛkt]	v. 反映
underline	[ˈəndərˌlaɪn]	v. 强调
representative	[ˌrɛprɪˈzɛnətɪv]	n. 代表
blame	[bleɪm]	v. 指责，责怪
retrain	[riˈtreɪn]	v. 再教育；再训练
tasteless	[ˈteɪstləs]	adj. 无味的
excessive	[ɪkˈsɛsɪv]	adj. 过度的
dishonest	[dɪˈsɑnəst]	adj. 不诚实的
caution	[ˈkɔʃən]	n. 小心，谨慎 v. 警告，告诫
glorious	[ˈglɔriəs]	adj. 辉煌的
pointless	[ˈpɔɪntləs]	adj. 无意义的
significant	[sɪgˈnɪfɪkənt]	adj. 重要的
mutual	[mˈjuʧuəl]	adj. 相互的
temptation	[tɛmˈteɪʃən]	n. 诱惑，引诱
passive	[ˈpæsɪv]	adj. 被动的
evolve	[ɪˈvɑlv]	v. 使发展
treasure	[ˈtrɛʒər]	v. 珍爱
shock	[ʃɑk]	v. 感到震惊
disservice	[dɪˈsərvəs]	n. 伤害，帮倒忙
ambitious	[æmˈbɪʃəs]	adj. 有雄心的，野心勃勃的
